id,type,label,subClassOf,domain,range,@type,@container,required,term,comment
ltr,Direction,left to right,,,,,,,,Indicates text should be processed left to right.
rtl,Direction,right to left,,,,,,,,Indiects text should be processed right to left
cc,prefix,,http://creativecommons.org/ns#,,,,,,,
csvw,prefix,,http://www.w3.org/ns/csvw#,,,,,,,
ctag,prefix,,http://commontag.org/ns#,,,,,,,
dc,prefix,,http://purl.org/dc/terms/,,,,,,,
dc11,prefix,,http://purl.org/dc/elements/1.1/,,,,,,,
dcat,prefix,,http://www.w3.org/ns/dcat#,,,,,,,
dcterms,prefix,,http://purl.org/dc/terms/,,,,,,,
dctypes,prefix,,http://purl.org/dc/dcmitype/,,,,,,,
foaf,prefix,,http://xmlns.com/foaf/0.1/,,,,,,,
gr,prefix,,http://purl.org/goodrelations/v1#,,,,,,,
grddl,prefix,,http://www.w3.org/2003/g/data-view#,,,,,,,
ical,prefix,,http://www.w3.org/2002/12/cal/icaltzd#,,,,,,,
ma,prefix,,http://www.w3.org/ns/ma-ont#,,,,,,,
oa,prefix,,http://www.w3.org/ns/oa#
og,prefix,,http://ogp.me/ns#
org,prefix,,http://www.w3.org/ns/org#
owl,prefix,,http://www.w3.org/2002/07/owl#
prov,prefix,,http://www.w3.org/ns/prov#
qb,prefix,,http://purl.org/linked-data/cube#
rdf,prefix,,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfa,prefix,,http://www.w3.org/ns/rdfa#
rdfs,prefix,,http://www.w3.org/2000/01/rdf-schema#
rev,prefix,,http://purl.org/stuff/rev#
rif,prefix,,http://www.w3.org/2007/rif#
rr,prefix,,http://www.w3.org/ns/r2rml#
schema,prefix,,http://schema.org/
sd,prefix,,http://www.w3.org/ns/sparql-service-description#
sioc,prefix,,http://rdfs.org/sioc/ns#
skos,prefix,,http://www.w3.org/2004/02/skos/core#
skosxl,prefix,,http://www.w3.org/2008/05/skos-xl#,,,,,,,
v,prefix,,http://rdf.data-vocabulary.org/#,,,,,,,
vcard,prefix,,http://www.w3.org/2006/vcard/ns#,,,,,,,
void,prefix,,http://rdfs.org/ns/void#,,,,,,,
wdr,prefix,,http://www.w3.org/2007/05/powder#,,,,,,,
wrds,prefix,,http://www.w3.org/2007/05/powder-s#,,,,,,,
xhv,prefix,,http://www.w3.org/1999/xhtml/vocab#,,,,,,,
xml,prefix,,http://www.w3.org/XML/1998/namespace,,,,,,,
xsd,prefix,,http://www.w3.org/2001/XMLSchema#,,,,,,,
,owl:imports,,http://www.w3.org/ns/prov,,,,,,,
,rdfs:seeAlso,,http://www.w3.org/TR/tabular-metadata,,,,,,,
csvEncodedTabularData,prov:Role,CSV Encoded Tabular Data,,,,,,,,Describes the role of a CSV file in the tabular data mapping.
tabularMetadata,prov:Role,Tabular Metadata,,,,,,,,Describes the role of a Metadata file in the tabular data mapping.
aboutUrl,rdf:Property,about URL,,"TableGroup,Table,Schema,Column",csvw:uriTemplate,,,,,A URI template property that may be used to create a unique identifier for each cell within a row when mapping data to other formats.
base,rdf:Property,base,,Datatype,xsd:string,,,,,An atomic property that contains a single string: a term defined in the default context representing a built-in datatype URL.
columnReference,rdf:Property,column reference,,"ForeignKey,TableReference",xsd:string,,@list,TRUE,,"A column reference property that holds either a single reference to a column description object within this schema, or an array of references."
column,rdf:Property,column,,Schema,Column,,@list,,columns,An array property of column descriptions as described in section 4.9 Columns.
commentPrefix,rdf:Property,comment prefix,,Dialect,xsd:string,,,,,"An atomic property that sets the comment prefix flag to the single provided value, which must be a string."
datatype,rdf:Property,datatype,,"TableGroup,Table,Schema,Column","Datatype,xsd:string",@vocab,,,,An atomic property that contains either a single string that is the main datatype of the values of the cell or a datatype description object.
decimalChar,rdf:Property,decimal character,,NumericFormat,xsd:string,,,,,An atomic property containing a single character string whose value is used to represent a decimal point within the number.
default,rdf:Property,default,,"TableGroup,Table,Schema,Column",xsd:string,,,,,An atomic property holding a single string that is used to create a default value for the cell in cases where the original string value is an empty string.
describes,rdf:Property,describes,,Row,,,,,,"From IANA describes: The relationship A 'describes' B asserts that resource A provides a description of resource B. There are no constraints on the format or representation of either A or B, neither are there any further constraints on either resource."
delimiter,rdf:Property,delimiter,,Dialect,xsd:string,,,,,"An atomic property that sets the delimiter flag to the single provided value, which must be a string."
dialect,rdf:Property,dialect,,"TableGroup,Table",Dialect,,,,,"Provides hints to processors about how to parse the referenced files for to create tabular data models for an individual table, or all the tables in a group."
doubleQuote,rdf:Property,double quote,,Dialect,xsd:boolean,,,,,"A boolean atomic property that, if `true`, sets the escape character flag to `""`."
encoding,rdf:Property,encoding,,Dialect,xsd:string,,,,,"An atomic property that sets the encoding flag to the single provided string value, which must be a defined in [encoding]."
foreignKey,rdf:Property,foreign key,,Schema,ForeignKey,,,,foreignKeys,An array property of foreign key definitions that define how the values from specified columns within this table link to rows within this table or other tables.
format,rdf:Property,format,,Datatype,xsd:string,,,,,An atomic property that contains either a single string or an object that defines the format of a value of this type.
groupChar,rdf:Property,group character,,NumericFormat,"NumericFormat,xsd:string",,,,,An atomic property containing a single character string whose value is used to group digits within the number.
header,rdf:Property,header,,Dialect,xsd:boolean,,,,,"A boolean atomic property that, if `true`, sets the header row count flag to `1`, and if `false` to `0`, unless headerRowCount is provided, in which case the value provided for the header property is ignored."
headerRowCount,rdf:Property,header row count,,Dialect,xsd:nonNegativeInteger,,,,,"An numeric atomic property that sets the header row count flag to the single provided value, which must be a non-negative integer."
lang,rdf:Property,language,,"TableGroup,Table,Schema,Column",xsd:string,,,,,An atomic property giving a single string language code as defined by [BCP47].
length,rdf:Property,length,,Datatype,xsd:nonNegativeInteger,,,,,The exact length of the value of the cell.,
lineTerminators,rdf:Property,line terminators,,Dialect,xsd:string,,,,,"An atomic property that sets the line terminators flag to either an array containing the single provided string value, or the provided array.", or the provided array.
maxExclusive,rdf:Property,max exclusive,,Datatype,xsd:integer,,,,,An atomic property that contains a single number that is the maximum valid value (exclusive).,
maxInclusive,rdf:Property,max inclusive,,Datatype,xsd:integer,,,,,An atomic property that contains a single number that is the maximum valid value (inclusive).,
maxLength,rdf:Property,max length,,Datatype,xsd:nonNegativeInteger,,,,,A numeric atomic property that contains a single integer that is the maximum length of the value.,
minExclusive,rdf:Property,min exclusive,,Datatype,xsd:integer,,,,,An atomic property that contains a single number that is the minimum valid value (exclusive).,
minInclusive,rdf:Property,min inclusive,,Datatype,xsd:integer,,,,,An atomic property that contains a single number that is the minimum valid value (inclusive).,
minLength,rdf:Property,min length,,Datatype,xsd:nonNegativeInteger,,,,,An atomic property that contains a single integer that is the minimum length of the value.,
name,rdf:Property,name,,Column,xsd:string,,,TRUE,,An atomic property that gives a canonical name for the column. This must be a string. Conversion specifications must use this property as the basis for the names of properties/elements/attributes in the results of conversions.,
note,rdf:Property,note,,"TableGroup,Table",,,,,notes,The value of this property becomes the value of the notes annotation on the resource.,
null,rdf:Property,null,,"TableGroup,Table,Schema,Column",xsd:string,,,,,An atomic property giving the string or strings used for null values within the data.,
ordered,rdf:Property,ordered,,"TableGroup,Table,Schema,Column",xsd:boolean,,,,,A boolean atomic property taking a single value which indicates whether a list that is the value of the cell is ordered (if `true`) or unordered (if `false`).,
pattern,rdf:Property,pattern,,NumericFormat,xsd:string,,,,,"An atomic property containing a regular expression string, in the syntax and interpreted as defined by [ECMASCRIPT].",
primaryKey,rdf:Property,primary key,,Schema,xsd:string,,,,,A column reference property that holds either a single reference to a column description object or an array of references.,
propertyUrl,rdf:Property,property URL,,"TableGroup,Table,Schema,Column",csvw:uriTemplate,,,,,An URI template property that may be used to create a URI for a property if the table is mapped to another format.,
quoteChar,rdf:Property,quote char,,Dialect,xsd:string,,,,,"An atomic property that sets the quote character flag to the single provided value, which must be a string or `null`.",
reference,rdf:Property,reference,,ForeignKey,TableReference,,,TRUE,,An object property that identifies a referenced table and a set of referenced columns within that table.
required,rdf:Property,required,,Column,xsd:boolean,,,,,A boolean value which indicates whether every cell within the column must have a non-null value.
resource,rdf:Property,resource,,TableReference,xsd:anyURI,,,,,A link property holding a URL that is the identifier for a specific table that is being referenced.
row,rdf:Property,row,rdfs:member,Table,Row,,@set,,,Relates a Table to each Row output.
rownum,rdf:Property,row number,,,xsd:integer,,,,,"The position of the row amongst the rows of the Annotated Tabl, starting from 1 "
scriptFormat,rdf:Property,script format,,Transformation,xsd:anyURI,,,,,A link property giving the single URL for the format that is used by the script or template.
schemaReference,rdf:Property,schema reference,,TableReference,xsd:anyURI,,,,,A link property holding a URL that is the identifier for a schema that is being referenced.
separator,rdf:Property,separator,,"TableGroup,Table,Schema,Column",xsd:string,,,,,An atomic property that must have a single string value that is the character used to separate items in the string value of the cell.
skipBlankRows,rdf:Property,skip blank rows,,Dialect,xsd:boolean,,,,,An boolean atomic property that sets the skip blank rows flag to the single provided boolean value.
skipColumns,rdf:Property,skip columns,,Dialect,xsd:nonNegativeInteger,,,,,"An numeric atomic property that sets the skip columns flag to the single provided numeric value, which must be a non-negative integer."
skipInitialSpace,rdf:Property,skip initial space,,Dialect,xsd:boolean,,,,,"A boolean atomic property that, if `true`, sets the trim flag to ""start"". If `false`, to `false`. If the trim property is provided, the skipInitialSpace property is ignored."
skipRows,rdf:Property,skip rows,,Dialect,xsd:nonNegativeInteger,,,,,"An numeric atomic property that sets the skip rows flag to the single provided numeric value, which must be a non-negative integer."
source,rdf:Property,source,,Transformation,xsd:string,,,,,"A single string atomic property that provides, if specified, the format to which the tabular data should be transformed prior to the transformation using the script or template."
